Subject_ID,Subject_NAME,Subject_Next_ID,Subject_Prev_ID,Year
01208112,Drawing,01208113_01208211,-,1
01417167,Math I,01208221_01208241_01208201_01417168,-,1
01420111,Physics I,01420113,-,1
01420113,Physics Lab I ,-,01420111,1
01204111,Programming,01208476,-,1.5
01208113,Design,-,01208112,1.5
01403117,Chemistry,01403114,-,1.5
01403114,Chemistry Lab,-,01403117,1.5
01417168,Math II,01208242_01208271_01208302,01417167,1.5
01205201,Electrical I,01208442_01208473_01205202,-,2
01208211,Building,-,01208112,2
01208221,Mechanics I,01208222_01208223_01208381,01417167,2
01208271,Math App,01208322_01208351_01208371_01208471_01208475,01417168,2
01213201,Materials,-,-,2
01205202,Electrical Lab I,-,01205201,2.5
01208222,Mechanics II,01208321_01208432,01208221,2.5
01208223,ME Materials,01208311_01208424,01208221,2.5
01208241,Thermodynamics,01208341_01208342_01208352_01208353_01208382_01208434_01208435_01208441_01208442_01208445_01208447_01208449,01417167,2.5
01208242,Fluid,01208352_01208353_01208426_01208447_01208453_01208454_01208474,01417168,2.5
01208281,Workshop,01208383,-,2.5
01208321,Machinery,01208427_01208477,01208222,3
01208322,Vibrations,01208478,01208271,3
01208341,Thermal,-,01208241,3
01208351,Heat,01208444_01208446,01208271,3
01208352,Refrigeration,01208451_01208452,01208241_01208242,3
01208381,Mechanics Lab I,-,01208201_01208221,3
01208311,Machine,01208412,01208223,3.5
01208331,Automotive,01208433_01208435_01208437,-,3.5
01208342,Power Plant,-,01208241,3.5
01208353,Air and Fire,01208452_01208455,01208242_01208241,3.5
01208371,Automatic,01208437_01208472,01208271,3.5
01208382,Mechanics Lab II,-,01208241,3.5
01208383,ME Workshop,-,01208281,3.5
01208497,Seminar,-,-,3.5
01208495,Pre - Project,01208499,-,4
01208499,Projects,-,01208495,4.5
